安仁县,1988
安宁市,2537
澳门,3301
安丘市,1653
阿合奇县,3126
安新县,0585
安庆市,1303
阿尔山市,0719
安顺市,2405
安陆市,1866
安溪县,1419
安图县,0925
安远县,1548
阿拉善盟,0716
安龙县,2419
安泽县,0684
阿克苏地区,3109
安康市,2714
阿勒泰地区,3118
安吉县,1240
安国市,0527
阿拉尔市,5395
安平县,0565
鞍山市,0803
阿里地区,2611
阿坝藏族羌族自治州,2395
安阳市,1716
白沙黎族自治县,2228
白银市,2807
博兴县,1650
毕节市,2414
保山市,2510
霸州市,0523
北海市,2103
波密县,2610
北京市,0101
宝鸡市,2702
保康县,1852
白沟镇,0559
巴里坤哈萨克自治县,5456
蚌埠市,1305
巴中市,2333
百色市,2112
保德县,0656
璧山县,0407
北屯市,3136
博乐市,3117
巴马瑶族自治县,2120
宝兴县,2363
博尔塔拉蒙古自治州,3116
亳州市,1312
北川羌族自治县,2351
滨州市,1618
宝应县,1132
保定市,0512
白洋淀,0541
巴楚县,5468
博湖县,5448
八宿县,2614
布尔津县,3123
拜城县,5458
博野县,5352
包头市,0702
巴音郭楞蒙古自治州,3131
巴东县,1878
北戴河区,0508
博爱县,1786
宝丰县,1756
滨海县,1165
博鳌,2220
白山市,0918
泊头市,0550
柏乡县,5343
白城市,0920
巴彦淖尔市,0710
本溪市,0805
保亭黎族苗族自治县,2214
曹妃甸区,0539
昌邑市,3502
澄江县,2541
常熟市,1117
长治市,0617
赤水市,2420
长乐市,1420
滁州市,1318
常州市,1103
崇礼县,0552
池州市,1320
苍山县,1698
长垣县,1767
磁县,5341
巢湖市,1308
承德市,0502
曹县,1699
长沙市,1901
朝阳市,0816
赤峰市,0707
辰溪县,2000
长春市,0901
昌吉回族自治州,3115
成武县,3508
澄迈县,2224
茌平县,1667
常德市,1910
成都市,2301
长葛市,1800
长兴县,1298
郴州市,1907
长岛县,1633
长兴岛,0829
成安县,5339
长治县,0672
茶陵县,1979
慈溪市,1231
重庆市,0401
昌乐县,1668
长泰县,1457
赤壁市,1821
长子县,0670
沧州市,0516
长汀县,1424
长白山池西,0909
崇义县,1529
长阳土家族自治县,1805
崇左市,2130
承德县,5327
昌都地区,2606
苍南县,1283
城步苗族自治县,1956
常山县,1279
城口县,0431
赤城县,5319
潮州市,2016
长寿区,0418
长白山池南,0912
昌黎县,0536
楚雄彝族自治州,2518
长白山池北,0907
东兴市,2127
大同市,0602
大丰市,1150
迭部县,2814
大悟县,1883
东宁县,1034
大新县,2132
德兴市,1522
东台市,1136
东阿县,1682
迪庆藏族自治州,2560
大足区,0408
德宏傣族景颇族自治州,2516
大冶市,1819
定安县,2215
定远县,1353
德清县,1242
德州市,1612
垫江县,0405
稻城县,2330
东海县,1148
东阳市,1243
当阳市,1850
儋州市,2216
邓州市,1734
大厂回族自治县,0591
洞头县,1289
定陶县,3507
当涂县,1342
大名县,0598
定襄县,0657
德钦县,2519
丹江口市,1816
丹东市,0806
丹阳市,1129
大宁县,0687
德令哈市,3004
东港区,0825
砀山县,1335
敦煌市,2803
大田县,1458
定边县,2747
东方市,2218
东平县,1670
代县,0643
德保县,2121
洞口县,1961
定兴县,5310
东山县,1418
大邑县,2372
郸城县,5388
大兴安岭地区,1028
大石桥市,0822
东光县,5329
